Cancer_type	Description	TEAD2
a_PROSTATE(n=3)	22RV1_PROSTATE	-1.258214503
a_PROSTATE(n=3)	NCIH660_PROSTATE	-1.70048494
a_PROSTATE(n=3)	VCAP_PROSTATE	-1.620687454
b_STOMACH(n=4)	AGS_STOMACH	-1.544411328
b_STOMACH(n=4)	HUG1N_STOMACH	-1.62775618
b_STOMACH(n=4)	MKN7_STOMACH	0.125115292
b_STOMACH(n=4)	NCIN87_STOMACH	-0.09714956
c_BREAST(n=13)	ZR7530_BREAST	-0.726763686
c_BREAST(n=13)	BT20_BREAST	-0.446895578
c_BREAST(n=13)	BT474_BREAST	-1.885390823
c_BREAST(n=13)	CAL120_BREAST	-0.515493905
c_BREAST(n=13)	CAL51_BREAST	0.107284073
c_BREAST(n=13)	EFM19_BREAST	-1.036723575
c_BREAST(n=13)	HCC1187_BREAST	-0.85250417
c_BREAST(n=13)	HCC1395_BREAST	0.48737579
c_BREAST(n=13)	HCC1954_BREAST	-0.782688004
c_BREAST(n=13)	HCC2218_BREAST	-0.905766063
c_BREAST(n=13)	HCC70_BREAST	-0.409148507
c_BREAST(n=13)	MCF7_BREAST	-0.25601319
c_BREAST(n=13)	MDAMB453_BREAST	-0.953776254
d_SOFT_TISSUE(n=2)	A204_SOFT_TISSUE	0.586314088
d_SOFT_TISSUE(n=2)	RKN_SOFT_TISSUE	-1.550111811
e_LARGE_INTESTINE(n=20)	C2BBE1_LARGE_INTESTINE	0.50368461
e_LARGE_INTESTINE(n=20)	COLO205_LARGE_INTESTINE	0.345026893
e_LARGE_INTESTINE(n=20)	DLD1_LARGE_INTESTINE	-1.594771273
e_LARGE_INTESTINE(n=20)	GP2D_LARGE_INTESTINE	-0.259314038
e_LARGE_INTESTINE(n=20)	HCT116_LARGE_INTESTINE	-0.548354261
e_LARGE_INTESTINE(n=20)	HT29_LARGE_INTESTINE	-0.214992949
e_LARGE_INTESTINE(n=20)	HT55_LARGE_INTESTINE	-1.239140605
e_LARGE_INTESTINE(n=20)	KM12_LARGE_INTESTINE	0.391423387
e_LARGE_INTESTINE(n=20)	LOVO_LARGE_INTESTINE	0.002159048
e_LARGE_INTESTINE(n=20)	LS411N_LARGE_INTESTINE	-0.321378952
e_LARGE_INTESTINE(n=20)	LS513_LARGE_INTESTINE	-0.546894618
e_LARGE_INTESTINE(n=20)	NCIH508_LARGE_INTESTINE	-1.086288001
e_LARGE_INTESTINE(n=20)	NCIH716_LARGE_INTESTINE	-0.422720992
e_LARGE_INTESTINE(n=20)	RKO_LARGE_INTESTINE	0.383208298
e_LARGE_INTESTINE(n=20)	SKCO1_LARGE_INTESTINE	-1.907979391
e_LARGE_INTESTINE(n=20)	SNUC1_LARGE_INTESTINE	-1.613703738
e_LARGE_INTESTINE(n=20)	SNUC2A_LARGE_INTESTINE	-0.824026544
e_LARGE_INTESTINE(n=20)	SW1417_LARGE_INTESTINE	-0.138652343
e_LARGE_INTESTINE(n=20)	SW48_LARGE_INTESTINE	0.225476582
e_LARGE_INTESTINE(n=20)	SW480_LARGE_INTESTINE	0.2412802
f_LUNG(n=21)	HCC827GR5_LUNG	0.258223336
f_LUNG(n=21)	A549_LUNG	0.538014189
f_LUNG(n=21)	CALU1_LUNG	-0.321352643
f_LUNG(n=21)	CORL23_LUNG	-0.0105361
f_LUNG(n=21)	HCC2814_LUNG	-1.317861533
f_LUNG(n=21)	HCC364_LUNG	-0.616975552
f_LUNG(n=21)	HCC44_LUNG	-0.193339965
f_LUNG(n=21)	HCC827_LUNG	-0.064854021
f_LUNG(n=21)	LK2_LUNG	0.201845826
f_LUNG(n=21)	NCIH1299_LUNG	-0.478141932
f_LUNG(n=21)	NCIH1437_LUNG	-0.77960919
f_LUNG(n=21)	NCIH1650_LUNG	-0.680201884
f_LUNG(n=21)	NCIH1792_LUNG	-1.007264286
f_LUNG(n=21)	NCIH196_LUNG	-0.865704217
f_LUNG(n=21)	NCIH1975_LUNG	-0.015144512
f_LUNG(n=21)	NCIH2122_LUNG	0.353570166
f_LUNG(n=21)	NCIH2171_LUNG	1.153502573
f_LUNG(n=21)	NCIH23_LUNG	-0.671257278
f_LUNG(n=21)	NCIH441_LUNG	-0.535821076
f_LUNG(n=21)	NCIH661_LUNG	-1.121899139
f_LUNG(n=21)	NCIH838_LUNG	0.139897404
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.910517885
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	A1207_CENTRAL_NERVOUS_SYSTEM	-0.703242781
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	A172_CENTRAL_NERVOUS_SYSTEM	0.207087491
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	AM38_CENTRAL_NERVOUS_SYSTEM	-0.02155018
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	CAS1_CENTRAL_NERVOUS_SYSTEM	-0.068872676
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	CH157MN_CENTRAL_NERVOUS_SYSTEM	0.652381081
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	DKMG_CENTRAL_NERVOUS_SYSTEM	0.027243211
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	GB1_CENTRAL_NERVOUS_SYSTEM	-0.10840225
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	HS683_CENTRAL_NERVOUS_SYSTEM	-0.386318592
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	IOMMLEE_CENTRAL_NERVOUS_SYSTEM	1.396203027
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	KALS1_CENTRAL_NERVOUS_SYSTEM	-1.908420264
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	KNS60_CENTRAL_NERVOUS_SYSTEM	-0.505256638
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	KNS81_CENTRAL_NERVOUS_SYSTEM	-1.247519178
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN215_CENTRAL_NERVOUS_SYSTEM	-0.028884739
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN229_CENTRAL_NERVOUS_SYSTEM	0.025923633
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN235_CENTRAL_NERVOUS_SYSTEM	-0.221726649
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN319_CENTRAL_NERVOUS_SYSTEM	-0.632632566
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN340_CENTRAL_NERVOUS_SYSTEM	-0.296176624
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN382_CENTRAL_NERVOUS_SYSTEM	-0.306482783
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN428_CENTRAL_NERVOUS_SYSTEM	-0.264052629
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN443_CENTRAL_NERVOUS_SYSTEM	-0.173328659
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LN464_CENTRAL_NERVOUS_SYSTEM	0.579888499
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	LNZ308_CENTRAL_NERVOUS_SYSTEM	-1.646352098
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SF126_CENTRAL_NERVOUS_SYSTEM	0.09716203
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SF172_CENTRAL_NERVOUS_SYSTEM	-0.600871277
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SF295_CENTRAL_NERVOUS_SYSTEM	-0.229545575
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SF767_CENTRAL_NERVOUS_SYSTEM	-0.033809625
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SNU1105_CENTRAL_NERVOUS_SYSTEM	0.49173586
g_CENTRAL_NERVOUS_SYSTEM£¨n=35)	SW1783_CENTRAL_NERVOUS_SYSTEM	-1.159123367
